index,title,combine,overview,cast
4086,Smoke Signals,Drama ComedyAdam Beach Evan Adams Irene Bedard Gary Farmer Tantoo CardinalChris Eyre,"Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family, and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains",Adam Beach Evan Adams Irene Bedard Gary Farmer Tantoo Cardinal
4087,American Splendor,Comedy Dramabiography independent film v.a. hospital junk sale jellybeanOrdinary life is pretty complex stuffPaul Giamatti Hope Davis Judah Friedlander James Urbaniak Harvey PekarShari Springer Berman,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,Paul Giamatti Hope Davis Judah Friedlander James Urbaniak Harvey Pekar
4088,Before Sunset,Drama Romanceparis journalist dialogue talking soulmatesWhat if you had a second chance with the one that got away?Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torr\u00e8s Mariane PlasteigRichard Linklater,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torr\u00e8s Mariane Plasteig
4089,Amores perros,Drama Thrillerhomeless person mexico city daughter secret love dogfightLove. Betrayal. Death.Gael Garc\u00eda Bernal Vanessa Bauche Goya Toledo Alvaro Guerrero Emilio Echevarr\u00edaAlejandro Gonz\u00e1lez I\u00f1\u00e1rritu,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,Gael Garc\u00eda Bernal Vanessa Bauche Goya Toledo Alvaro Guerrero Emilio Echevarr\u00eda
4090,Thirteen,Crime Dramacheating dysfunctional family teen angst underage drinking domestic violenceIt's happening so fast.Evan Rachel Wood Nikki Reed Vanessa Hudgens Holly Hunter Brady CorbetCatherine Hardwicke,"Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",Evan Rachel Wood Nikki Reed Vanessa Hudgens Holly Hunter Brady Corbet
4091,Gentleman's Agreement,Drama Romanceanti semitism soldierGregory Peck Dorothy McGuire John Garfield Celeste Holm Anne RevereElia Kazan,A magazine writer poses as a Jew to expose anti-Semitism.,Gregory Peck Dorothy McGuire John Garfield Celeste Holm Anne Revere
4092,Winter's Bone,Dramafather court bail drug trade girlTalking Just Causes WitnessesJennifer Lawrence John Hawkes Kevin Breznahan Dale Dickey Garret DillahuntDebra Granik,"17 year-old Ree Dolly sets out to track down her father, who put their house up for his bail bond and then disappeared. If she fails, Ree and her family will be turned out into the Ozark woods. Challenging her outlaw kin's code of silence and risking her life, Ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.",Jennifer Lawrence John Hawkes Kevin Breznahan Dale Dickey Garret Dillahunt
4093,Touching the Void,Documentary Action Adventurewound mountaineer peru sport glacierBrendan Mackey Nicholas Aaron Richard Hawking Ollie Ryall Joe SimpsonKevin Macdonald,"A documentary based on the book of the same name by Joe Simpson about Simpson's and Simon Yates' disastrous and near-fatal attempt to climb 6,344m Siula Grande in the Cordillera Huayhuash in the Peruvian Andes in 1985.",Brendan Mackey Nicholas Aaron Richard Hawking Ollie Ryall Joe Simpson
4094,Alexander's Ragtime Band,Drama Music Romancedance ragtime concert tourAn American Cavalcade!Tyrone Power Alice Faye Don Ameche Ethel Merman Jack HaleyHenry King,"Roger Grant, a classical violinist, disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with his singer Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend Charlie. Roger comes home after the war and an important concert at Carnegie Hall brings the corners of the romantic triangle together.",Tyrone Power Alice Faye Don Ameche Ethel Merman Jack Haley
4095,Me and You and Everyone We Know,Comedy Dramabrother brother relationship playground independent film sex talk art galleryMiranda July John Hawkes Brandon Ratcliff Miles Thompson Carlie WestermanMiranda July,"The feature film debut by artist Miranda July about a various comic situations and plots that intertwine. One story line is about a father who is ending his marriage and the other story is of a video artist (possibly autobiographical of Miranda July, also played by her) who is desperately trying to get her work in a modern art museum. The film won Caméra d'Or at Cannes.",Miranda July John Hawkes Brandon Ratcliff Miles Thompson Carlie Westerman
4096,Inside Job,"Documentarycorruption capitalism globalization bank bankerThe film that cost $20,000,000,000,000 to make.Matt Damon William Ackman Barack Obama George W. Bush Jonathan AlpertCharles Ferguson","A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.",Matt Damon William Ackman Barack Obama George W. Bush Jonathan Alpert
4097,We Are Your Friends,Drama Music RomancedjThe world is yours.Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro LindbladMax Joseph,"Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad
4098,Ghost Dog: The Way of the Samurai,Crime Dramadeportation hitman mission of murder book codeAll assassins live beyond the law … only one follows the codeForest Whitaker Cliff Gorman Tricia Vessey Henry Silva Victor ArgoJim Jarmusch,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,Forest Whitaker Cliff Gorman Tricia Vessey Henry Silva Victor Argo
4099,Harsh Times,Crime Drama Thriller Actionwatching a movie playing pool vinegarTake A Ride To The EdgeChristian Bale Freddy Rodr\u00edguez Eva Longoria Chaka Forman Tammy TrullDavid Ayer,"Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates. His best friend is pressured by his girlfriend Sylvia to find a job, but Jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his Mexican girlfriend.",Christian Bale Freddy Rodr\u00edguez Eva Longoria Chaka Forman Tammy Trull
4100,Captive,Crime Drama Thrillerhostage based on true story murder independent film single motherFaith. Redemption. Survival.Kate Mara David Oyelowo Michael Kenneth Williams Mimi Rogers Leonor VarelaJerry Jameson,"Based on a miraculous true story that drew the attention of the entire nation, is the dramatic, thrilling, and spiritual journey of Ashley Smith and Brian Nichols.  After being taken hostage by Brian in her own apartment, Ashley turns to Rick Warren’s inspirational book, The Purpose Driven Life, for guidance.  In reading from the book, Ashley not only finds purpose in her own life, but helps Brian find a more peaceful resolution to a harrowing situation.",Kate Mara David Oyelowo Michael Kenneth Williams Mimi Rogers Leonor Varela
4101,Full Frontal,Comedy Drama Romanceindependent filmEverybody Needs A ReleaseDavid Duchovny Nicky Katt Catherine Keener Mary McCormack David Hyde PierceSteven Soderbergh,"A contemporary comedy set in Los Angeles, Full Frontal traces the complicated relationship among seven friends as they deal with the fragile connections that bind them together. Full Frontal takes place during a twenty-four hour period - a day in the life of missed connections.",David Duchovny Nicky Katt Catherine Keener Mary McCormack David Hyde Pierce
4102,Witchboard,Horrorax possession psychic power ouija ouija boardIt's more than just a game.Stephen Nichols Tawny Kitaen Todd Allen Kathleen Wilhoite Burke ByrnesKevin Tenney,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",Stephen Nichols Tawny Kitaen Todd Allen Kathleen Wilhoite Burke Byrnes
4103,Shortbus,Romance Drama Comedygay new york free love swinger club transsexualityOpen Your Mind. And Everything Else.Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay BeamishJohn Cameron Mitchell,"A group of New Yorkers caught up in their milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.. The characters converge in a weekly Brooklyn salon loosely inspired by various underground NYC gatherings that took place in the early 2000's.",Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay Beamish
4104,Waltz with Bashir,Drama Animation Warisrael palestine middle east lebanon nightmareAri Folman Ron Ben-Yishai Dror Harazi Ronny DayagAri Folman,"Much awarded animated documentary, in which director and Israeli army veteran Ari Folman interviews friends and former soldiers about their memories of  the 1982 Lebanon war and especially the Sabra and Shatila massacre in Beirut. The usage on animation enabled Folman to illustrate their personal memories and dreams.",Ari Folman Ron Ben-Yishai Dror Harazi Ronny Dayag
4105,"The Book of Mormon Movie, Volume 1: The Journey","2600 years ago, one family began a remarkable journey and set the course for a latter-day faith. This is their story.Kirby Heyborne Michael Flynn","The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem, and they sought his life. He journeys into the wilderness with his family. He sends Nephi and his brethren back to Jerusalem after the brass plates and the family of Ishmael. The sons and daughters of Lehi marry the sons and daughters of Ishmael. They take their families and continue into the wilderness. Ishmael dies in the wilderness. They come to the sea. Nephi's brethren rebel against him. He confounds them, and builds a ship. They cross the sea to the promised land in the Americas. Lehi dies in the promised land. Nephi's brethren rebel against him again. Nephi departs again into the wilderness.",Kirby Heyborne Michael Flynn
4106,No End in Sight,Documentarywhite house occupying power independent film incompetence irakThe American Occupation of Iraq. The Inside Story From the Ultimate Insiders.Campbell Scott Gerald Burke Ali Fadhil Robert HutchingsCharles Ferguson,"Chronological look at the fiasco in Iraq, especially decisions made in the spring of 2003 - and the backgrounds of those making decisions - immediately following the overthrow of Saddam: no occupation plan, an inadequate team to run the country, insufficient troops to keep order, and three edicts from the White House announced by Bremmer when he took over.",Campbell Scott Gerald Burke Ali Fadhil Robert Hutchings
4107,The Diary of a Teenage Girl,Drama Romance1970s teenage girl older man younger woman relationship based on graphic novel teenage sexualitySome things are best kept secret.Bel Powley Kristen Wiig Alexander Skarsg\u00e5rd Christopher Meloni Austin LyonMarielle Heller,"Minnie Goetze is a 15-year-old aspiring comic-book artist, coming of age in the haze of the 1970s in San Francisco. Insatiably curious about the world around her, Minnie is a pretty typical teenage girl. Oh, except that she’s sleeping with her mother’s boyfriend.",Bel Powley Kristen Wiig Alexander Skarsg\u00e5rd Christopher Meloni Austin Lyon
4108,In the Shadow of the Moon,Documentarynasa space mission rocket moon landing spaceBuzz Aldrin Michael Collins Alan Bean Eugene Cernan Charles DukeDavid Sington,"Archival material from the original NASA film footage – much of it seen for the first time – plus interviews with the surviving astronauts, including Jim Lovell, Dave Scott, John Young, Gene Cernan, Mike Collins, Buzz Aldrin, Alan Bean, Edgar Mitchell, Charlie Duke and Harrison Schmitt.",Buzz Aldrin Michael Collins Alan Bean Eugene Cernan Charles Duke
4109,Meek's Cutoff,Drama Westerngold oregon thirst tree settlerThe Road to Civilisation is Not Always CivilisedMichelle Williams Bruce Greenwood Will Patton Zoe Kazan Paul DanoKelly Reichardt,"Set in 1845, this drama follows a group of settlers as they embark on a punishing journey along the Oregon Trail. When their guide leads them astray, the expedition is forced to contend with the unforgiving conditions of the high plain desert.",Michelle Williams Bruce Greenwood Will Patton Zoe Kazan Paul Dano
4110,Inside Deep Throat,History Documentaryusa 1970s sexual revolution unsimulated sexIt was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.Dennis Hopper Peter Bart Warren Beatty Carl BernsteinFenton Bailey,"In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.",Dennis Hopper Peter Bart Warren Beatty Carl Bernstein
4111,Dinner Rush,Drama Action ThrillerDanny Aiello John Rothman Frank Bongiorno Lexie Sperduto Zainab JahBob Giraldi,"Is it just another evening at the hugely popular Italian restaurant of proprietor and bookmaker Louis Cropa in New York? Anything but as tonight's guests include; a local police detective and his wife specially invited by the owner; on the balcony rival bookmaker gangsters from Queens who want to become partners in the restaurant; in the corner renowned food critic 'the food nymph' is her usual demanding self; and at the bar, seemingly unnoticed, is Ken. As the evening continues enter Duncan, inveterate gambler and sous-chef on-the-line in the frenetic kitchen downstairs, who acts as the catalyst that causes the evening to draw to its inevitable, explosive, deadly conclusion.",Danny Aiello John Rothman Frank Bongiorno Lexie Sperduto Zainab Jah
4112,Clockwatchers,Comedy Dramaindependent film woman directorToni Collette Parker Posey Lisa Kudrow Alanna Ubach Helen FitzGeraldJill Sprecher,Iris can best be described as a wallflower. She begins her first day as a temp for the nondescript Global Credit Association by waiting in a chair for two hours...,Toni Collette Parker Posey Lisa Kudrow Alanna Ubach Helen FitzGerald
4113,The Virginity Hit,Comedyloss of virginity teenage boy teen comedy teenage sexuality found footageMatt Bennett Zack Pearlman Jacob Davich Justin Kline Krysta RodriguezHuck Botko,"Four guys, one camera, and their experience chronicling the exhilarating and terrifying rite of passage: losing your virginity. As these guys help their buddy get laid, they'll have to survive friends with benefits, Internet hookups, even porn stars during an adventure that proves why you will always remember your first time.",Matt Bennett Zack Pearlman Jacob Davich Justin Kline Krysta Rodriguez
4114,Subway,Action Thrillerparis culture clash subway metropolis blackmailAn underground story where lives intertwineIsabelle Adjani Christopher Lambert Richard Bohringer Michel Galabru Jean-Hugues AngladeLuc Besson,"Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals. Despite being pursued by the henchmen, Fred finds the time to flirt with Héléna, blow a safe, rob a train, evade the hapless Metro police, and start a rock band",Isabelle Adjani Christopher Lambert Richard Bohringer Michel Galabru Jean-Hugues Anglade
4115,House of D,Comedy Dramaself-discovery friendshipRobin Williams David Duchovny Anton Yelchin T\u00e9a Leoni Erica TazelDavid Duchovny,"An American artist living a bohemian existence in Paris, Tom Warshaw (David Duchovny) is trying to make sense of his troubled adult life by reflecting upon his extraordinary childhood.",Robin Williams David Duchovny Anton Yelchin T\u00e9a Leoni Erica Tazel
4116,Teeth,Comedy HorrorEvery rose has its thorns.Jess Weixler John Hensley Josh Pais Hale Appleman Lenny Von DohlenMitchell Lichtenstein,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",Jess Weixler John Hensley Josh Pais Hale Appleman Lenny Von Dohlen
4117,Six-String Samurai,Action Adventure Science Fictionindependent filmVegas Needs a New King.Jeffrey Falcon Justin McGuire Kim De Angelo Stephane Gauger Clifford HugoLance Mungia,"In a post-apocalyptic world where the Russians have taken over a nuked USA and Elvis is king of Lost Vegas, Buddy is a '50s rocker and wandering warrior rolled into one, too-cool package. Armed with his six-string in one hand and his sword in the other, Buddy is on his way to Vegas to succeed Elvis as King. Along the way, he saves an orphan who decides to tag along.",Jeffrey Falcon Justin McGuire Kim De Angelo Stephane Gauger Clifford Hugo
4118,Hum To Mohabbat Karega,,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.",
4119,It's All Gone Pete Tong,Drama Comedy Musicdisc jockey loss of family cocaine comeback recording studioPaul Kaye Kate Magowan Neil Maskell Beatriz Batarda Pete TongMichael Dowse,"Its All Gone Pete Tong is a comedy following the tragic life of legendary Frankie Wilde. The story takes us through Frankie's life from one of the best DJ's alive, through subsequent battle with a hearing disorder, culminating in his mysterious disappearance from the scene.",Paul Kaye Kate Magowan Neil Maskell Beatriz Batarda Pete Tong
4120,Saint John of Las Vegas,Comedyindependent film aftercreditsstingerSteve Buscemi Romany Malco Tim Blake Nelson Sarah Silverman John ChoHue Rhodes,An ex-gambler is lured back into the game by a veteran insurance-fraud investigator.,Steve Buscemi Romany Malco Tim Blake Nelson Sarah Silverman John Cho
4121,24 7: Twenty Four Seven,Comedy Drama Romancetransporter sport friends nottinghamBob Hoskins Danny Nussbaum Bruce Jones Annette Badland Frank HarperShane Meadows,"In a typical English working-class town, the juveniles have nothing more to do than hang around in gangs. One day, Alan Darcy, a highly motivated man with the same kind of youth experience, starts trying to get the young people off the street and into doing something they can believe in: Boxing. Darcy opens a boxing club, aiming to bring the rival gangs together.",Bob Hoskins Danny Nussbaum Bruce Jones Annette Badland Frank Harper
4122,Stonewall,Dramastonewall riotWhere Pride BeganJeremy Irvine Jonny Beauchamp Jonathan Rhys Meyers Ron Perlman Caleb Landry JonesRoland Emmerich,"""Stonewall"" is a drama about a young man in New York caught up during the 1969 Stonewall Riots, a pivotal event widely considered the starting point for the modern gay civil rights movement.",Jeremy Irvine Jonny Beauchamp Jonathan Rhys Meyers Ron Perlman Caleb Landry Jones
4123,Roadside Romeo,Animation Family ForeignSaif Ali Khan Kareena Kapoor Javed Jaffrey Tanaaz Currim Irani Vrajesh Hirjee,"This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in, the chicks to party with and the cars to be driven around in. Until one day, the family he was the favourite pet of, decided to move and left him back, abandoned on the mean streets of Mumbai. Romeo is now faced with situations he has never been in before. He encounters four strays, who scare the daylights out of him. But soon, he smooth talks his way into their hearts and he makes friends. Then, Romeo finds love! He encounters the beautiful, ravishing Laila, the most beautiful girl he has ever seen - and he loses his heart to her at first sight. Finally, he encounters a villain! The dreaded Don of the area - Charlie Anna. The Don who everyone is scared of. So hop on to the adventure as Romeo, wins friendship, love and a new life - in spite of Charlie Anna and his gang!",Saif Ali Khan Kareena Kapoor Javed Jaffrey Tanaaz Currim Irani Vrajesh Hirjee
4124,This Thing of Ours,Drama Action Thrillerheist mafia internetJames Caan James Caan Frank Vincent Vincent Pastore Louis VanariaDanny Provenzano,"Using the Internet and global satellites, a group of gangsters pull off the biggest bank heist in the Mafia's history.",James Caan James Caan Frank Vincent Vincent Pastore Louis Vanaria
4125,The Lost Medallion: The Adventures of Billy Stone,Adventure FamilyFinding it is only the beginning.William Brent Sammi Hanratty James Hong Alex Kendrick Mark DacascosBill Muir,A man who stops into a foster home to drop off some donations soon tells the kids a story about two teenage friends who uncover a long-lost medallion that transports them back in time.,William Brent Sammi Hanratty James Hong Alex Kendrick Mark Dacascos
4126,The Last Five Years,Comedy Drama Music Romancewife musical marriage divorceThere are two sides to every love story.Anna Kendrick Jeremy Jordan Natalie Knepp Bettina Bresnan Marceline HugotRichard LaGravenese,"In New York, a struggling actress and a successful writer sing about their failed marriage from two perspectives.",Anna Kendrick Jeremy Jordan Natalie Knepp Bettina Bresnan Marceline Hugot
4127,The Missing Person,Comedy Drama Mystery Thrillerdetective independent film train alcoholic missing personJohn Rosow is a private investigator. And an alcoholic. He just got the case of his life.Michael Shannon Amy Ryan Frank Wood Linda Emond John VentimigliaNoah Buschel,"Private detective John Rosow is hired to tail a man on a train from Chicago to Los Angeles. Rosow gradually uncovers the man's identity as a missing person; one of the thousands presumed dead after the 9/11 terrorist attacks on the World Trade Center. Persuaded by a large reward, Rosow is charged with bringing the missing person back to his wife in New York City.",Michael Shannon Amy Ryan Frank Wood Linda Emond John Ventimiglia
4128,Return of the Living Dead 3,Comedy Science Fiction Romance Horrorgang zombieShe's to die for.Melinda Clarke J. Trevor Edmond Kent McCord Sarah Douglas James T. CallahanBrian Yuzna,"Colonel Reynolds and his group of government scientists continue their work on re-animating the dead for military use. His son Curt uses a stolen security pass to sneak in with his thrill-seeking girlfriend Julie, with shocking, deadly results!",Melinda Clarke J. Trevor Edmond Kent McCord Sarah Douglas James T. Callahan
4129,London,Drama Action Romancenew york celebrationOne young man's incredible journey of self-discoveryChris Evans Jessica Biel Joy Bryant Jason Statham Kelli GarnerHunter Richards,London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.,Chris Evans Jessica Biel Joy Bryant Jason Statham Kelli Garner
4130,Sherrybaby,Dramaindependent film mother daughter relationship woman directorNo one makes it alone.Maggie Gyllenhaal Michelle Hurst Sandra Rodr\u00edguez Danny Trejo Brad William HenkeLaurie Collyer,"After serving time in prison, former drug addict Sherry Swanson returns home to reclaim her young daughter from family members who have been raising the child. Sherry's family, especially her sister-in-law, doubt Sherry's ability to be a good mother, and Sherry finds her resolve to stay clean slowly weakening.",Maggie Gyllenhaal Michelle Hurst Sandra Rodr\u00edguez Danny Trejo Brad William Henke
4131,Circle,Horror Science Fictionsurvival execution stranger no memoryIn here… everything gets you killed.Julie Benz Carter Jenkins Cesar Garcia Mercy Malick Lisa PelikanAaron Hann,Could you trust a jury of your peers with your life? The contestants of a mysterious death game must make harrowing decisions as they strategize for survival in this psychological sci-fi thriller.,Julie Benz Carter Jenkins Cesar Garcia Mercy Malick Lisa Pelikan
4132,Eden Lake,"Horror Thrillerbeach wife husband relationship lake camping rottweilerA weekend by the lake, with views to die for.Kelly Reilly Michael Fassbender Tara Ellis Jack O'Connell Finn AtkinsJames Watkins","Eden Lake is a relentlessly tense and immaculately paced horror-thriller about modern youth gone wild. When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.",Kelly Reilly Michael Fassbender Tara Ellis Jack O'Connell Finn Atkins
4133,Plush,Thrillerwoman directorThere's a fine line between love and obsession.Emily Browning Xavier Samuel Cam Gigandet Dawn Olivieri Frances FisherCatherine Hardwicke,"A young singer/songwriter, despite being married, becomes involved with her new guitarist, who she soon discovers has a dark past and may be a danger to her and those close to her.",Emily Browning Xavier Samuel Cam Gigandet Dawn Olivieri Frances Fisher
4134,Lesbian Vampire Killers,"Horror Comedyfemale nudity horror dark comedy female homosexuality female vampireAfter Twilight, The Real Party Starts.James Corden Mathew Horne Paul McGann MyAnna Buring Vera FilatovaPhil Claydon","With their women having been enslaved by a pack of lesbian vampires, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice.",James Corden Mathew Horne Paul McGann MyAnna Buring Vera Filatova
4135,Gangster's Paradise: Jerusalema,Drama Action Crime Foreignhearing gang of thieves organized crimeWelcome to the promised land.Daniel Buckland Robert Hobbs Rapulana Seiphemo Jeffrey Zekele Ronnie NyakaleRalph Ziman,"This South African movie tracks the rise of a once-petty criminal to the heights of the criminal underworld. After cutting his teeth on hijacking, before moving onto bigger game, an ambitious man hits a setback when most of his gang are shot.",Daniel Buckland Robert Hobbs Rapulana Seiphemo Jeffrey Zekele Ronnie Nyakale
4136,Freeze Frame,Thriller Drama Crimeloss of family camcorder alibi suspect murderLee Evans Sean McGinley Ian McNeice Colin SalmonJohn Simpson,"Sean Veil is an ultra paranoid murder suspect who takes to filming himself round the clock to provide an alibi, just in case he's ever accused of another crime. Problems arise however when the police do come calling and the one tape that can prove his innocence has mysteriously disappeared.",Lee Evans Sean McGinley Ian McNeice Colin Salmon
4137,Grave Encounters,Thriller Horrorcamcorder reality insane asylum paranormal hauntingThey Were Searching For Proof.  They Found it.Sean Rogerson Juan Riedinger Ashleigh Gryzko Mackenzie Gray Arthur CorberColin Minihan,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,Sean Rogerson Juan Riedinger Ashleigh Gryzko Mackenzie Gray Arthur Corber
4138,Stitches,Horrorslapstick teen angst slaughter dark comedy supernatural beingYou'll die laughing...Ross Noble Tommy Knight Gemma-Leah Devereux John McDonnellConor McMahon,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",Ross Noble Tommy Knight Gemma-Leah Devereux John McDonnell
4139,Nine Dead,Crime Drama Horror Thrillerkidnapping murder suspenseIt doesn't have to end this wayMelissa Joan Hart John Terry Chip Bent Lawrence Turner Edrick BrowneChris Shadley,Communication is the key to the survival for nine strangers who have been kidnapped by a masked gunman and told that one of them will die every ten minutes until they discover how they are all connected. Who of the nine lives and who dies?,Melissa Joan Hart John Terry Chip Bent Lawrence Turner Edrick Browne
4140,"To Be Frank, Sinatra at 100",Documentarymusic actors legendary perfomer classic hollywood frank sinatraTony OppedisanoSimon Napier-Bell,,Tony Oppedisano
4141,Bananas,Comedyrevolution political activism loserWoody Allen Louise Lasser Carlos Montalb\u00e1n Nati Abascal Jacobo MoralesWoody Allen,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",Woody Allen Louise Lasser Carlos Montalb\u00e1n Nati Abascal Jacobo Morales
4142,Supercapitalist,ThrillerMoney for LifeLinus Roache Derek Ting Richard Ng Michael Park Kathy UyenSimon Yin,A maverick New York hedge fund trader with uncanny analytic abilities moves to Hong Kong and orchestrates a mega-deal that swiftly escalates beyond his control.,Linus Roache Derek Ting Richard Ng Michael Park Kathy Uyen
4143,Rockaway,Action Adventure DramaNicholas Gonzalez Mario Cimarro Oleg Taktarov Vitali Baganov Ricardo ChaviraJeff Crook,"Trane is a decorated war hero just shipped home to the States from Afghanistan after the brutal murder of his wife and child back in Rockaway, Queens. Upon his return, Trane encounters his old friend Dave, who describes the new forces of crime and prostitution that have moved into their neighborhood and caused the destruction of his family.",Nicholas Gonzalez Mario Cimarro Oleg Taktarov Vitali Baganov Ricardo Chavira
4144,The Lady from Shanghai,Crime Drama Mysterynew york san francisco aquarium shanghai yachtI told you... you know nothing about wickednessRita Hayworth Orson Welles Everett Sloane Glenn Anders Ted de CorsiaOrson Welles,A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,Rita Hayworth Orson Welles Everett Sloane Glenn Anders Ted de Corsia
4145,No Man's Land: The Rise of Reeker,Horror Thrillersheriff robber burned alive gore serial killerStephen Martines Valerie Cruz Mircea Monroe Desmond Askew Michael Robert BrandonDave Payne,"A sheriff and his son who are tracking down a group of bank robbers on their way to Mexico, only to discover that they are being stalked by a far more deadly enemy — The Reeker.",Stephen Martines Valerie Cruz Mircea Monroe Desmond Askew Michael Robert Brandon
